Election Type,Name Raw,Office,Party,State Name,County,Precinct,State Fip,CountyFIPS 3,Jurisdiction,Votes
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670015,37,167,0015,5
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670018,37,167,0018,9
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670013,37,167,0013,10
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670027,37,167,0027,9
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670026,37,167,0026,4
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670024,37,167,0024,10
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670007,37,167,0007,13
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670017,37,167,0017,5
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670012,37,167,0012,5
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670010,37,167,0010,4
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670019,37,167,0019,12
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670028,37,167,0028,6
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670008,37,167,0008,6
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670002,37,167,0002,4
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670021,37,167,0021,3
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670016,37,167,0016,2
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670014,37,167,0014,2
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670011,37,167,0011,7
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670003,37,167,0003,8
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670022,37,167,0022,4
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670025,37,167,0025,18
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670023,37,167,0023,15
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Stanly,371670020,37,167,0020,8
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670013,37,167,0013,2
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670015,37,167,0015,1
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670018,37,167,0018,2
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670023,37,167,0023,1
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670020,37,167,0020,0
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670014,37,167,0014,0
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670003,37,167,0003,5
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670022,37,167,0022,0
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670025,37,167,0025,4
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670016,37,167,0016,1
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670011,37,167,0011,0
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670012,37,167,0012,1
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670002,37,167,0002,1
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670010,37,167,0010,2
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670008,37,167,0008,1
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670021,37,167,0021,0
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670028,37,167,0028,0
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670019,37,167,0019,3
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670017,37,167,0017,1
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670007,37,167,0007,0
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670027,37,167,0027,0
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670026,37,167,0026,0
general,Jill Stein,US PRESIDENT,,North Carolina,Stanly,371670024,37,167,0024,1
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670013,37,167,0013,204
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670015,37,167,0015,329
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670018,37,167,0018,226
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670007,37,167,0007,543
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670026,37,167,0026,237
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670024,37,167,0024,269
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670027,37,167,0027,436
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670008,37,167,0008,1026
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670010,37,167,0010,267
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670002,37,167,0002,222
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670012,37,167,0012,115
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670019,37,167,0019,153
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670017,37,167,0017,251
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670021,37,167,0021,107
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670028,37,167,0028,369
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670011,37,167,0011,208
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670016,37,167,0016,268
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670014,37,167,0014,154
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670025,37,167,0025,315
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670003,37,167,0003,673
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670022,37,167,0022,265
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670023,37,167,0023,253
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Stanly,371670020,37,167,0020,204
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670014,37,167,0014,14
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670011,37,167,0011,30
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670016,37,167,0016,16
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670003,37,167,0003,34
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670020,37,167,0020,22
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670023,37,167,0023,37
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670022,37,167,0022,26
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Stanly,371670025,37,167,0025,58
