Election Type,Name Raw,Office,Party,State Abbr,State County,State Name,County,State FIPS,County FIPS,Precinct,Jurisdiction,Votes
general,Donald J Trump,President,REP,OR,OR | BAKER,Oregon,Baker,41,41001,410011,1,565
general,Hillary Clinton,President,DEM,OR,OR | BAKER,Oregon,Baker,41,41001,410011,1,222
general,Jill Stein,President,PGP,OR,OR | BAKER,Oregon,Baker,41,41001,410011,1,18
general,Gary Johnson,President,LBT,OR,OR | BAKER,Oregon,Baker,41,41001,410011,1,44
general,Write-ins,President,,OR,OR | BAKER,Oregon,Baker,41,41001,410011,1,17
general,Donald J Trump,President,REP,OR,OR | BAKER,Oregon,Baker,41,41001,410012,2,520
general,Hillary Clinton,President,DEM,OR,OR | BAKER,Oregon,Baker,41,41001,410012,2,209
general,Jill Stein,President,PGP,OR,OR | BAKER,Oregon,Baker,41,41001,410012,2,17
general,Gary Johnson,President,LBT,OR,OR | BAKER,Oregon,Baker,41,41001,410012,2,47
general,Write-ins,President,,OR,OR | BAKER,Oregon,Baker,41,41001,410012,2,30
general,Donald J Trump,President,REP,OR,OR | BAKER,Oregon,Baker,41,41001,410013,3,611
general,Hillary Clinton,President,DEM,OR,OR | BAKER,Oregon,Baker,41,41001,410013,3,202
general,Jill Stein,President,PGP,OR,OR | BAKER,Oregon,Baker,41,41001,410013,3,21
general,Gary Johnson,President,LBT,OR,OR | BAKER,Oregon,Baker,41,41001,410013,3,39
general,Write-ins,President,,OR,OR | BAKER,Oregon,Baker,41,41001,410013,3,20
general,Donald J Trump,President,REP,OR,OR | BAKER,Oregon,Baker,41,41001,410014,4,745
general,Hillary Clinton,President,DEM,OR,OR | BAKER,Oregon,Baker,41,41001,410014,4,222
general,Jill Stein,President,PGP,OR,OR | BAKER,Oregon,Baker,41,41001,410014,4,24
general,Gary Johnson,President,LBT,OR,OR | BAKER,Oregon,Baker,41,41001,410014,4,52
general,Write-ins,President,,OR,OR | BAKER,Oregon,Baker,41,41001,410014,4,24
general,Donald J Trump,President,REP,OR,OR | BAKER,Oregon,Baker,41,41001,410015,5,820
general,Hillary Clinton,President,DEM,OR,OR | BAKER,Oregon,Baker,41,41001,410015,5,217
general,Jill Stein,President,PGP,OR,OR | BAKER,Oregon,Baker,41,41001,410015,5,16
general,Gary Johnson,President,LBT,OR,OR | BAKER,Oregon,Baker,41,41001,410015,5,58
general,Write-ins,President,,OR,OR | BAKER,Oregon,Baker,41,41001,410015,5,26
