Election Type,Name Raw,Office,Party,StateAbbr,StateName,County,StateFIPS,CountyFIPS,Precinct,Jurisdiction,Votes
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Baker 2,Baker 2,70
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Baker 3,Baker 3,56
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Baker 4,Baker 4,88
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Baker 5,Baker 5,94
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Baker Country 13,Baker Country 13,74
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Durkee 14,Durkee 14,10
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Eagle Valley 15,Eagle Valley 15,29
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Haines 17,Haines 17,52
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Hereford 18,Hereford 18,7
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Huntington 19,Huntington 19,3
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Irondyke 20,Irondyke 20,1
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Keating 21,Keating 21,18
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Pine Valley 22,Pine Valley 22,27
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Poca-Wing 24,Poca-Wing 24,68
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Sumpter 25,Sumpter 25,14
primary,Ted Cruz,President,REP,OR,Oregon,Baker,41,41001,41001Unity 26,Unity 26,2
primary,John R Kasich,President,REP,OR,Oregon,Baker,41,41001,41001Baker 1,Baker 1,44
primary,John R Kasich,President,REP,OR,Oregon,Baker,41,41001,41001Baker 2,Baker 2,45
primary,John R Kasich,President,REP,OR,Oregon,Baker,41,41001,41001Baker 3,Baker 3,30
