bioname,url,website
"ROGERS, Mike Dennis",https://www.congress.gov/member/mike-rogers/R000575,https://mikerogers.house.gov/
"SEWELL, Terri",https://www.congress.gov/member/terri-sewell/S001185,https://sewell.house.gov/
"PALMER, Gary James",https://www.congress.gov/member/gary-palmer/P000609,https://palmer.house.gov/
"MOORE, Barry",https://www.congress.gov/member/barry-moore/M001212,https://barrymoore.house.gov/
"STRONG, Dale",https://www.congress.gov/member/dale-strong/S001220,https://strong.house.gov/
"FIGURES, Shomari",https://www.congress.gov/member/shomari-figures/F000481,https://figures.house.gov/
"ADERHOLT, Robert",https://www.congress.gov/member/robert-aderholt/A000055,https://aderholt.house.gov/
"BEGICH, Nicholas J., III",https://www.congress.gov/member/nicholas-begich/B001323,https://begich.house.gov/
"GRIJALVA, Raúl M.",https://www.congress.gov/member/raul-grijalva/G000551,https://grijalva.house.gov/
"GOSAR, Paul",https://www.congress.gov/member/paul-gosar/G000565,https://gosar.house.gov/
"SCHWEIKERT, David",https://www.congress.gov/member/david-schweikert/S001183,https://schweikert.house.gov/
"BIGGS, Andrew S.",https://www.congress.gov/member/andy-biggs/B001302,https://biggs.house.gov/
"STANTON, Greg",https://www.congress.gov/member/greg-stanton/S001211,https://stanton.house.gov/
"CISCOMANI, Juan",https://www.congress.gov/member/juan-ciscomani/C001133,https://ciscomani.house.gov/
"CRANE, Eli",https://www.congress.gov/member/elijah-crane/C001132,https://crane.house.gov/
"ANSARI, Yassamin",https://www.congress.gov/member/yassamin-ansari/A000381,https://ansari.house.gov/
"HAMADEH, Abraham J.",https://www.congress.gov/member/abraham-hamadeh/H001098,https://hamadeh.house.gov/
"CRAWFORD, Rick",https://www.congress.gov/member/eric-crawford/C001087,https://crawford.house.gov/
"WOMACK, Steve",https://www.congress.gov/member/steve-womack/W000809,https://womack.house.gov/
"HILL, French",https://www.congress.gov/member/j-hill/H001072,https://hill.house.gov/
"WESTERMAN, Bruce Eugene",https://www.congress.gov/member/bruce-westerman/W000821,https://westerman.house.gov/
"PELOSI, Nancy",https://www.congress.gov/member/nancy-pelosi/P000197,https://pelosi.house.gov/
"ISSA, Darrell",https://www.congress.gov/member/darrell-issa/I000056,https://issa.house.gov/
"SÁNCHEZ, Linda T.",https://www.congress.gov/member/linda-sanchez/S001156,https://lindasanchez.house.gov/
"COSTA, Jim",https://www.congress.gov/member/jim-costa/C001059,https://costa.house.gov/
"MATSUI, Doris",https://www.congress.gov/member/doris-matsui/M001163,https://matsui.house.gov/
"McCLINTOCK, Tom",https://www.congress.gov/member/tom-mcclintock/M001177,https://mcclintock.house.gov/
"CHU, Judy",https://www.congress.gov/member/judy-chu/C001080,https://chu.house.gov/
"GARAMENDI, John",https://www.congress.gov/member/john-garamendi/G000559,https://garamendi.house.gov/
"LaMALFA, Doug",https://www.congress.gov/member/doug-lamalfa/L000578,https://lamalfa.house.gov/
"HUFFMAN, Jared",https://www.congress.gov/member/jared-huffman/H001068,https://huffman.house.gov/
"BERA, Ami",https://www.congress.gov/member/ami-bera/B001287,https://bera.house.gov/
"SWALWELL, Eric",https://www.congress.gov/member/eric-swalwell/S001193,https://swalwell.house.gov/
"VALADAO, David G.",https://www.congress.gov/member/david-valadao/V000129,https://valadao.house.gov/
"BROWNLEY, Julia",https://www.congress.gov/member/julia-brownley/B001285,https://juliabrownley.house.gov/
"RUIZ, Raul",https://www.congress.gov/member/raul-ruiz/R000599,https://ruiz.house.gov/
"TAKANO, Mark",https://www.congress.gov/member/mark-takano/T000472,https://takano.house.gov/
"VARGAS, Juan",https://www.congress.gov/member/juan-vargas/V000130,https://vargas.house.gov/
"PETERS, Scott",https://www.congress.gov/member/scott-peters/P000608,https://scottpeters.house.gov/
"DESAULNIER, Mark James",https://www.congress.gov/member/mark-desaulnier/D000623,https://desaulnier.house.gov/
"AGUILAR, Peter Rey",https://www.congress.gov/member/pete-aguilar/A000371,https://aguilar.house.gov/
"LIEU, Ted",https://www.congress.gov/member/ted-lieu/L000582,https://lieu.house.gov/
"TORRES, Norma Judith",https://www.congress.gov/member/norma-torres/T000474,https://torres.house.gov/
"BARRAGÁN, Nanette Diaz",https://www.congress.gov/member/nanette-barragan/B001300,https://barragan.house.gov/
"CARBAJAL, Salud",https://www.congress.gov/member/salud-carbajal/C001112,https://carbajal.house.gov/
"CORREA, Jose Luis",https://www.congress.gov/member/j-correa/C001110,https://correa.house.gov/
"KHANNA, Rohit",https://www.congress.gov/member/ro-khanna/K000389,https://khanna.house.gov/
"PANETTA, James Varni",https://www.congress.gov/member/jimmy-panetta/P000613,https://panetta.house.gov/
"GOMEZ, Jimmy",https://www.congress.gov/member/jimmy-gomez/G000585,https://gomez.house.gov/
"CISNEROS, Gil",https://www.congress.gov/member/gilbert-cisneros/C001123,https://cisneros.house.gov/
"HARDER, Josh",https://www.congress.gov/member/josh-harder/H001090,https://harder.house.gov/
"LEVIN, Mike",https://www.congress.gov/member/mike-levin/L000593,https://levin.house.gov/
"JACOBS, Sara",https://www.congress.gov/member/sara-jacobs/J000305,https://sarajacobs.house.gov/
"KIM, Young",https://www.congress.gov/member/young-kim/K000397,https://youngkim.house.gov/
"OBERNOLTE, Jay",https://www.congress.gov/member/jay-obernolte/O000019,https://obernolte.house.gov/
"GARCIA, Robert",https://www.congress.gov/member/robert-garcia/G000598,https://robertgarcia.house.gov/
"KAMLAGER-DOVE, Sydney",https://www.congress.gov/member/sydney-kamlager-dove/K000400,https://kamlager-dove.house.gov/
"KILEY, Kevin",https://www.congress.gov/member/kevin-kiley/K000401,https://kiley.house.gov/
"MULLIN, Kevin",https://www.congress.gov/member/kevin-mullin/M001225,https://kevinmullin.house.gov/
"FONG, Vince",https://www.congress.gov/member/vince-fong/F000480,https://fong.house.gov/
"FRIEDMAN, Laura",https://www.congress.gov/member/laura-friedman/F000483,https://friedman.house.gov/
"GRAY, Adam",https://www.congress.gov/member/adam-gray/G000605,https://gray.house.gov/
"LICCARDO, Sam T.",https://www.congress.gov/member/sam-liccardo/L000607,https://liccardo.house.gov/
"MIN, Dave",https://www.congress.gov/member/dave-min/M001241,https://min.house.gov/
"RIVAS, Luz M.",https://www.congress.gov/member/luz-rivas/R000620,https://rivas.house.gov/
"SIMON, Lateefah",https://www.congress.gov/member/lateefah-simon/S001231,https://simon.house.gov/
"TRAN, Derek",https://www.congress.gov/member/derek-tran/T000491,https://tran.house.gov/
"WHITESIDES, George",https://www.congress.gov/member/george-whitesides/W000830,https://whitesides.house.gov/
"WATERS, Maxine",https://www.congress.gov/member/maxine-waters/W000187,https://waters.house.gov/
"CALVERT, Ken",https://www.congress.gov/member/ken-calvert/C000059,https://calvert.house.gov/
"LOFGREN, Zoe",https://www.congress.gov/member/zoe-lofgren/L000397,https://lofgren.house.gov/
"SHERMAN, Brad",https://www.congress.gov/member/brad-sherman/S000344,https://sherman.house.gov/
"THOMPSON, Michael",https://www.congress.gov/member/mike-thompson/T000460,https://mikethompson.house.gov/
"CROW, Jason",https://www.congress.gov/member/jason-crow/C001121,https://crow.house.gov/
"NEGUSE, Joseph",https://www.congress.gov/member/joe-neguse/N000191,https://neguse.house.gov/
"BOEBERT, Lauren",https://www.congress.gov/member/lauren-boebert/B000825,https://boebert.house.gov/
"PETTERSEN, Brittany",https://www.congress.gov/member/brittany-pettersen/P000620,https://pettersen.house.gov/
"CRANK, Jeff",https://www.congress.gov/member/jeff-crank/C001137,https://crank.house.gov/
"EVANS, Gabe",https://www.congress.gov/member/gabe-evans/E000300,https://gabeevans.house.gov/
"HURD, Jeff",https://www.congress.gov/member/jeff-hurd/H001100,https://hurd.house.gov/
"DeGETTE, Diana",https://www.congress.gov/member/diana-degette/D000197,https://degette.house.gov/
"COURTNEY, Joe",https://www.congress.gov/member/joe-courtney/C001069,https://courtney.house.gov/
"HIMES, James A.",https://www.congress.gov/member/james-himes/H001047,https://himes.house.gov/
"HAYES, Jahana",https://www.congress.gov/member/jahana-hayes/H001081,https://hayes.house.gov/
"DeLAURO, Rosa L.",https://www.congress.gov/member/rosa-delauro/D000216,https://delauro.house.gov/
"LARSON, John B.",https://www.congress.gov/member/john-larson/L000557,https://larson.house.gov/
"MCBRIDE, Sarah",https://www.congress.gov/member/sarah-mcbride/M001238,https://mcbride.house.gov/
"DIAZ-BALART, Mario",https://www.congress.gov/member/mario-diaz-balart/D000600,https://mariodiazbalart.house.gov/
"WASSERMAN SCHULTZ, Debbie",https://www.congress.gov/member/debbie-wasserman-schultz/W000797,https://wassermanschultz.house.gov/
"CASTOR, Kathy",https://www.congress.gov/member/kathy-castor/C001066,https://castor.house.gov/
"BUCHANAN, Vernon G.",https://www.congress.gov/member/vern-buchanan/B001260,https://buchanan.house.gov/
"BILIRAKIS, Gus",https://www.congress.gov/member/gus-bilirakis/B001257,https://bilirakis.house.gov/
"WEBSTER, Daniel A.",https://www.congress.gov/member/daniel-webster/W000806,https://webster.house.gov/
"WILSON, Frederica",https://www.congress.gov/member/frederica-wilson/W000808,https://wilson.house.gov/
"FRANKEL, Lois",https://www.congress.gov/member/lois-frankel/F000462,https://frankel.house.gov/
"DUNN, Neal Patrick",https://www.congress.gov/member/neal-dunn/D000628,https://dunn.house.gov/
"MAST, Brian Jeffery",https://www.congress.gov/member/brian-mast/M001199,https://mast.house.gov/
"RUTHERFORD, John Henry",https://www.congress.gov/member/john-rutherford/R000609,https://rutherford.house.gov/
"SOTO, Darren Michael",https://www.congress.gov/member/darren-soto/S001200,https://soto.house.gov/
"STEUBE, William",https://www.congress.gov/member/w-steube/S001214,https://steube.house.gov/
"WALTZ, Michael",https://www.congress.gov/member/michael-waltz/W000823,
"CAMMACK, Kat",https://www.congress.gov/member/kat-cammack/C001039,https://cammack.house.gov/
"DONALDS, Byron",https://www.congress.gov/member/byron-donalds/D000032,https://donalds.house.gov/
"FRANKLIN, C. Scott",https://www.congress.gov/member/scott-franklin/F000472,https://franklin.house.gov/
"GIMENEZ, Carlos A.",https://www.congress.gov/member/carlos-gimenez/G000593,https://gimenez.house.gov/
"SALAZAR, Maria Elvira",https://www.congress.gov/member/maria-salazar/S000168,https://salazar.house.gov/
